Serial,English,Pronunciation,Bangla,POS
617,problem,প্রবলেম,সমস্যা,n
650,river,রিভার,নদী,n
618,product,প্রোডাক্,পণ্য,n
651,road,রোড,রাস্তা,n
652,room,রুম,"কক্ষ, ঘর (n) অনুষ্ঠান",n
620,project,প্রজেক্ট,প্রকল্প (n),n
621,purple,পাপল,বেগুনি,"adj , n"
654,rule,রুল,নিয়ম,n
655,run,রান,দৌড়ানো,v
623,quarter,কোয়ার্টার,এক চতু্থাংশ,n
656,sad,স্যাড,দুঃখিত,adj
624,question,কোয়েশ্চেন,প্রশ্ন,n
657,salad,স্যাল্যাড,সালাদ,n
625,quick,কুইক,দ্রুত,adj
658,salt,সল্ট,লবণ,n
626,quickly,কুইকলি,দ্রুতভাবে,adv
660,sandwich,স্যান্ডউইচ,স্যান্ডউইচ,n
628,quite,কোয়াইট,"বেশ, সম্পূরণ (adv) রেডিও",n
661,Saturday,স্যাটারডে,শনিবার,n
631,read,রিড,পড়া (v) school (স্কুল) স্কুল,n
664,science,সায়েন্স,বিজ্ঞান,n
632,reader,রিডার,পাঠক,n
665,scientist,সায়েন্টিস্ট,বিজ্ঞানী,n
634,ready,রেডি,sea সাগর (n) প্রস্তুত,adj
635,real,রিয়েল,"বাস্তব, আসল (adj) (সেকেন্ড) দ্বিতীয়",det  number
636,really,রিয়েলি,সত্যিই,adv.
668,secondl,unit of time,,সেকেন্ড
637,reason,রিজন,কারণ (n) সেকেন্ড (সময়),n
669,section,সেকশন,"অংশ, বিভাগ",n
639,relax,রিল্যাক্স,আরাম করা,v
640,remember,রিমেম্বার,মনে রাখা,v
671,sell,সেল,বিক্রি করা,v
641,repeat,রিপিট,পুনরাবৃত্তি করা,v
672,send,সেন্ড,পাঠানো,v
642,report,রিপোর্ট,"রিপোর্ট, প্রতিবেদন",n
673,sentence,সেন্টেন্স,বাক্য,n
643,restaurant,রেস্টুরেন্ট,- রেস্টুরেন্ট,n
674,September,সেপ্টেম্বর,সেপ্টেম্বর,n
644,result,রেজাল্ট,ফলাফল,n
675,seven,সেভেন,সাত,number
676,seventeen,সেভেনটিন,সতেরো (v); ফেরত (n),number
646,rice,রাইস,"চাল, ভাত (n) Facebook Biborno Sahin",01726505437
677,seventy,সেভেন্টি,সত্তর,number
711,sometimes,সামটাইমজ,মাঝে মাঝে,adv
678,share,শেয়ার,ভাগ করা,v
712,So1l,সান,"পুত্র, ছেলে",n
713,song,সঙ,গান,n
680,sheep,শিপ,ভেডা,n
714,Soo1l,সুন,শীঘ্রই,adv
681,shirt,শারট,শাট,n
715,sorry,সরি,দুঃখিত,"adj , exclam"
716,sound,সাউন্ড,শব্দ (n); শোনা,v
717,soup,সুপ,স্যুপ (n) করা,v.
718,south,সাউথ,দক্ষিণ,"n, adj , adv"
684,shopping,শপিং,কেনাকাটা,n
719,space,স্পেস,"স্থান, মহাশূন্য",n
685,short,শট,"খাটো, ছোট",adj
720,speak,স্পিক,কথা বলা,v
686,should,শুড,উচিত,modal v.
721,special,স্পেশাল,বিশেষ,adj
687,show,শো,দেখানো (v); প্রদর্শনী,n
722,spell,স্পেল,বানান করা,v
688,shower,শাওয়ার,শাওয়ার,n
723,spelling,স্পেলিং,বানান,n
689,sick,সিক,অসুস্থ,adj
724,spend,স্পেন্ড,"ব্যয় করা, সময় কাটানো",v
690,similar,সিমিলার,অনুরূপ,adj
725,sport,স্পোর্ট,খেলাধুলা,n
691,sing,সিং,গান করা,v
726,spring,স্প্রিং,বসন্তকাল,n
692,singer,সিঙ্গার,গায়কগায়িকা,n
727,stand,স্ট্যান্ড,দাঁড়ানো,v
693,sister,সিস্টার,বোন,n
728,star,স্টার,তারা,n
694,sit,সিট,বসা,v
729,start,স্টাট,শুরু করা,v
695,situation,সিচুয়েশন,পরিস্থিতি,n
730,statement,স্টেটমেন্ট,- বিবৃতি,n
696,six,সিক্স,ছয়,number
731,station,স্টেশন,স্টেশন,n
697,sixteen,সিক্সটিন,ষোল,number
732,stay,স্টে,থাকা,v
698,sixty,সিক্সটি,যাট,number
733,still,স্টিল,এখনও,adv
699,skill,স্কিল,দক্ষতা,n
734,stop,স্টপ,থামা (v.); থামা,n:
700,skirt,স্কাট,স্কার্ট,n
735,story,স্টোরি,গল্প,n
701,sleep,স্নলিপ,ঘুমানো,v
736,street,স্ট্রিট,রাস্তা,n
702,slow,স্লো,ধীর,adj
737,strong,স্ট্রং,শক্তিশালী,adj
703,small,স্মল,- ছোট,adj
738,student,স্টুডেন্ট,ছাত্র ছাত্রী,n
704,snake,স্নেক,সাপ,n
705,snow,স্নো,বরফ (n ); তুষারপাত হওয়া পড়াশোনা (n),v.
740,style,স্টাইল,"শৈলী, ধরন",n
706,SO,সো,তাই,"adv , conj"
741,subject,সাবজেক্ট,- বিষয়,n
707,some,সাম,কিছু,"det , pron"
742,success,সাকসেস,সাফল্য,n
708,somebody,সামবডি,কেউ,pron
743,sugar,সুগার,চিনি,n
709,someone,সামওয়ান,কেউ,pron:
744,summer,সামার,গ্রীষ্মকাল,n
745,sun,সান,সূর্য (n) Facebook Biborno Sahin,01726505437
746,Sunday,সানডে,রবিবার,n
780,they,দেই,তারা,pron
781,thing,থিং,জিনিস (n),n
782,think,থিংক,ভাবা,v
748,sure,শিওর,নিশ্চিত,adj
783,third,থারড,তৃতীয়,number
749,sweater,সুইটার,সোয়েটার,n
784,thirsty,থারস্টি,তৃষ্ণাত,adj
750,swim,সুইম,- সাঁতার কাটা,v
785,thirteen,থারটিন,তেরো,number
751,swimming,সুইমিং,সাঁতার,n
786,thirty,থাটি,ত্রিশ,number
752,table,টেবিল,টেবিল,n
787,this,দিস,এটি,det  pron
753,take,টেইক,নেওয়া,v
788,thousand,থাউজেন্ড,হাজার,number
754,talk,টক,কথা বলা,v
789,three,থ্রি,তিন,number
755,tall,টল,লম্বা,adj
790,through,থ্রু,মধ্য দিয়ে,"prep , adv."
756,taxi,ট্যাক্সি,ট্যাক্সি,n
791,Thursday,থারসডে,বৃহস্পতিবার,n
757,tea,Tি,চা,n
792,ticket,টিকেটি,টিকিট,n
758,teach,টিচ,শেখানো,v
793,time,টাইম,সময়,n
759,teacher,টিচার,শিক্ষক শিক্ষিকা,n
794,tired,টায়ার্ড,ক্লান্ত,adj
760,team,টিম,দল,n
795,title,টাইটেল,- শিরোনাম,n
761,teenager,টিনেজার,কিশোর কিশোরী,n
762,telephone,টেলিফোন,টেলিফোন (n); marker) টেলিফোন করা,v
797,today,টুডে,আজ,"adv , n"
763,television,টেলিভিশন,- টেলিভিশন,n
764,tell,টেল,বলা,v
799,toilet,টয়লেট,টয়লেট,n
765,ten,টেন,দশ,number
766,tennis,টেনিস,টেনিস,n
801,nobody,নোবডি,কেউ না,pron:
767,terrible,টেরিবল,"ভয়ংকর, জঘন্য",adj
802,north,নথ,উত্তর,"n , adj , adv"
768,test,টেস্ট,পরীক্ষা (n); পরীক্ষা করা,v
803,nose,নোজ,নাক,n
769,text,টেক্সট,"- টেক্সট, লিখিত বাতা",n
804,not,নট,না,adv
770,than,দ্যান,চেয়ে,conj
805,note,নোট,"নোট, টীকা",n
771,thank,থ্যাংক,ধন্যবাদ দেওয়া,v
806,nothing,নাথিং,- কিছুই না,pron
772,thanks,থ্যাংকস,ধন্যবাদ,"exclam, n"
807,November,নভেম্বর,নভেম্বর,n
773,that,দ্যাট,"যে, ওই","det , pron , conj"
808,IOTY,নাউ,এখন,adv
774,the,দিদা,"টি, টা",নির্দিষ্ট নির্দেশক
809,number,নামবার,সংখ্যা,n
775,theatre,থিয়েটার,থিয়েটার,n
810,nurse,নাস,নাস,n
776,their,দেয়ার,তাদের,det
811,object,অবজেক্,বস্তু; উদ্দেশ্য,n
777,them,দেম,তাদের (pron) 812. 0'clock (ও'ক্লক) টা,সময় বাঝাতে
778,then,দেন,তারপর (adv),adv.
813,October,অকটোবর,অকযোবর (n) Facebook Biborno Sahin,01726505437
814,of,অফ,এর,prep
815,off,অফ,বন্ধ,"adv , prep"
816,office,অফিস,"অফিস, কার্যালয়",n
817,often,অফেন,প্রায়শই,adv.
818,oh,ওহ,ও5,exclam
0,ld,ওল্ড,"পুরাতন, বয়স্ক",adj
821,on,অন,উপর,"prep , adv"
823,one,ওয়ান,এক,"numberidet , pron"
824,onion,অনিয়ন,পেঁয়াজ,n
843,paper,পেপার,কাগজ,n
844,paragraph,প্যারাগ্রাফ,অনুচ্ছেদ,n
845,parent,প্যারেন্ট,পিতা বা মাতা,n
846,park,পাক,পাক (n); গাড়ি পাক করা,V.
847,part,পাট,অংশ,n
848,partner,পার্টনার,"অংশীদার, সঙ্গী",n
849,party,পাটি,"পার্টি, দল",n
850,passport,পাসপোর্ট,পাসপোর্ট,n
851,past,পাস্ট,অতীত,"adj , I1. prep"
852,pay,পে,পরিশোধ করা,v
853,pen,পেন,কলম,n
854,pencil,পেন্সিল,পেন্সিল,n
855,people,পিপল,মানুষ,n
856,pepper,পেপার,গোলমরিচ; ক্যাপসিকাম,n
857,perfect,পারফেক্ট,- নিখুঁত,adj
859,person,পাসন,ব্যক্কতি,n
860,personal,পাসোনাল,ব্যক্তিগত,adj
861,phone,ফ্,ফোন (n); ফোন করা,V.
862,photo,ফোটো,ছবি,n
863,photograph,ফোটোগ্রাফ,ছবি,n
864,phrase,ফ্রেজ,"শব্দগুচ্ছ, বাক্যাংশ",n
865,piano,পিয়ানো,পিয়ানো,n
866,picture,পিকচার,ছবি,n
867,piece,পিস,"টুকরা, অংশ",n
868,pig,পিগ,শূকর,n
869,pink,পিঙ্ক,গোলাপী,"adj , n"
870,place,প্লেস,স্থান,n
871,plan,প্ল্যান,পরিকল্পনা (n); পরিকল্পনা করা,v
872,plane,প্লেইন,- বিমান,n
873,plant,প্ল্যান্ট,গাছ,n
827,open,ওপেন,খোলা (adj ); খোলা,v
828,opinion,ওপিনিয়ন,মতামত,n
829,opposite,অপোজিট,বিপরীত,"adj , n , prep , adv"
830,or,অর,অথবা,conj
831,orange,অরেগজ,কমলা (n); কমলা রঙের,adj
832,order,অর্ডার,"আদেশ, ক্রম (n); আদেশ করা",v
0,ll1,আওয়ার,আমাদের,det
835,out,আউট,বাইরে,adv  prep
836,outside,আউটসাইড,বাইরে,adv
838,own,ওন,নিজের,adj  pron
839,page,পেইড,পৃষ্ঠা,n
840,paint,পেইন্ট,রং করা (v); রং,n
841,painting,পেইন্টিং,চিত্রকম,n
842,pair,পেেয়ার,জোডা,n
874,play,প্লে,খেলা করা (v); খেলা,n
875,player,প্লেয়ার,খেলোয়াড়,n
876,please,প্লিজ,দয়া করে,exclam
877,point,পয়েন্ট,- বিন্দু; মূল বিষয়,n
878,police,পুলিশ,পুলিশ,n
879,policeman,পুলিশম্যান,পুলিশ সদস্য (পুরুষ),n
880,pool,পুল,পুকুর; সুইমিং পুল,n
881,poor,পুর,"গরিব, দরিদ্র",adj
882,popular,পপুলার,জনপ্রিয়,adj
883,positive,পজিটিভ,- ইতিবাচক,adj
884,possible,পসিবল,সম্ভব,adj
885,post,পেস্ট,পোেস্ট (n); পেস্ট করা,V.
886,potato,পটাটো,আলু,n
887,pound,পাউন্ড,পাউন্ড (মুদ্রাওজন),n
888,practice,প্র্যাকটিস,- অনুশীলন,n
889,practise,প্র্যাকটিস,অনুশীলন করা,v
890,prefer,প্রেফার,পছন্দ করা,v
891,prepare,প্রিপেয়ার,প্রস্তুত করা,v
892,present,প্রেজেন্ট,বর্তমান (adj ); উপহার,n
893,pretty,প্রিটি,সুন্দর (adj ); বেশ,adv
894,price,প্রাইস,দাম,n
895,probably,প্রবাবলি,সম্ভবত,adv
896,problem,প্রবলেম,সমস্যা,n
897,product,প্রোডাক,পণ্য,n
898,programme,প্রোগ্রাম,"প্রগ্রাম, অনুষ্ঠান",n
899,project,প্রজেক,প্রকল্প,n
900,purple,পাপল,বেগুনি,"adj , n"
901,put,পুট,রাখা,v
902,quarter,কোয়ার্টার,এক চতুথাংশ,n
903,question,কোয়েশ্চেন,প্রশ্ন,n
904,quick,কুইক,দ্রুত,adj
905,quickly,কুইকলি,দ্রুতাবে,adv
906,quiet,কোয়ায়েট,শান্ত,adj
907,quite,কোয়াইট,"বেশ, সম্পূর্ণ",adv:
908,radio,রেডিও,রেডিও,n
909,rain,রহন,বৃষ্টি (n); বৃষ্টি হওয়া,v
910,read,রিড,পড়়া,v
911,reader,রিডার,পাঠক,n
912,reading,রিডিং,পড়়া,n
913,ready,রেডি,প্রস্তুত,adj
914,real,রিয়েল,"বাস্তব, আসল",adj
915,really,রিয়েলি,সত্যিই,adv.
916,reason,িজন,কারণ,n
918,relax,রিল্যাক্স,আরাম করা,v
919,remember,রমেম্বার,মনে রাখা,v
920,repeat,রিপিট,পুনরাবৃত্তি করা,v
921,report,রিপোর্ট,"রিপোরট, প্রতিবেদন",n
922,restaurant,রেস্টুরেন্ট,- রেস্টুরেন্ট,n
923,result,রেজাল্ট,ফলাফল,n
924,return,রিটান,ফিরে আসাদেেওয়া (V.); ফেরেত,n.
925,rice,রাইস,"চল, ভাত",n
926,rich,রিচ,ধনী,adj
927,ride,রাইড,"চড়া (সাইকেল, ঘোড়া)",v
928,right,রাইট,সঠিক; ডান,"adj , adv. I."
929,river,রিভার,নদী,n
930,road,ররড,রাস্তা,n
931,room,রুম,"কক্ষ, ঘর",n
933,rule,রুল,নিয়ন,n
934,run,রান,দৌড়ানো,v
935,sad,স্যাড,দুঃখিত,adj
936,salad,স্যাল্যাড,সালাদ (n) Facebook Biborno Sahin,01726505437
937,salt,সল্ট,লবণ,n
938,samne,সেইম,একই,"adj , pron , adv"
939,sandwich,স্যান্ডউইচ,স্যান্ডউইচ,n
940,Saturday,স্যাটারডে,শনিবার,n
941,say,সেই,বলা,v
942,school,স্কুল,স্কুল,n
943,science,সায়েন্স,বিজ্ঞান,n
944,scientist,সায়েন্টিস্ট,বিজ্ঞানী,n
946,secondl,next after the first,(সেকেন্ড) দ্বিতীয়,det  number
947,second1,unit of time,(সেকেন্ড) সেকেন্ড (সময়),n
948,section,সেকশন,"অংশ, বিভাগ",n
950,sell,সেল,বিক্রি করা,v
951,send,সেন্ড,পাঠানো,v
952,sentence,সেন্টেন্স,বাক্য,n
953,September,সেপ্টেম্বর,সেপ্টেম্বর,n
954,seven,সেভেন,সাত,number
955,seventeen,সেভেনটিন,সতেরো,number
956,seventy,সেভেন্টি,সত্তর,number
957,share,শেশয়ার,ভাগ করা,v
958,she সেসে,স্ত্রী,,pron
959,sheep,শিপ,ভেডাো,n
960,shirt,শারট,শাট,n
961,shoe,শু,জুতো,n
962,shop,শপ,দোকান (n); কেনাকাটা করা,v
963,shopping,শপিং,কেনাকাটা,n
964,short,শট,"খাটো, ছোট",adj
965,should,শুড়,উচিত,modal v
966,show,শোশ,দেখানো (v ); প্রদশনী,n
967,shower,শাওয়ার,শাওয়ার,n
968,sick,সিক,অসুস্থ,adj
969,similar,সিমিলার,অনুরূপ,adj
970,sing,সিং,গান করা,v
971,singer,সিঙ্গার,গায়কগায়িকা,n
972,sister,সিস্টার,বোন,n
973,sit,সিট,বসা,v
974,situation,সিচুয়েশন,পরিস্থিতি,n
975,slx,সিক্স,চয়,number
976,sixteen,সিক্সটিন,ঘোল,number
977,sixty,সিক্সটি,যাট,number
978,skill,স্কিল,দক্ষতা,n
979,skirt,স্কাট,- স্কাট,n
980,sleep,স্লিপ,ঘুমানো,v
981,slow,সলো,ধীর,adj
982,small,স্মল,ছোট,adj
983,snake,সম্নেক,সাপ,n
984,snoW {স্না) বরফ,n,; তুষারপাত হওয়া,v
985,SO,স,তাই,"adv , conj"
986,some,সাম,কিছু,"det , pron"
987,somebody,সামবডি,কেউ,pron:
988,someone,সমওয়া,কেউ,pron:
989,something,সামথিং,কিছু একটা,pron
990,sometimes,সামটাইমজ,মাঝে মাঝে,adv.
991,son,সান,"পুত্র, ছেলে",n
992,song,সঙ,গান,n
993,S0011,সুন,শীঘ্রই,adv.
994,sorry,সরি,দুঃখিত,"adj , exclam"
995,sound,সাউন্ড,শব্দ (n); শোনা,v
996,soup,সুপ,স্যুপ,n
997,south,সাউথ,দাক্ষণ,"n, adj , adv"
998,space,স্পেস,"স্থান, মহাশূন্য",n
999,speal,স্পিক,কথা বলা,v
1000,special,স্পেশাল,বিশেষ (adj) Facebook Biborno Sahin,01726505437
1001,spell,স্পেল,বানান করা,v
1002,spelling,সপলিং,বানান,n
1003,spend,স্স্পেন্ড,"ব্যয় করা, সময় কাটানো",v
1004,sport,স্পোর্ট,খেলাধুলা,n
1005,spring,স্প্রিং,বসন্তকাল,n
1006,stand,স্ট্যান্ড,দাঁড়ানো,v
1007,star,স্টার,তারা,n
1008,start,স্টাট,শুরু করা,v
1009,statement,স্টেটমেন্ট,- বিবৃতি,n
1010,station,স্টেশন,স্্টেশন,n
1011,stay,স্টে,থাকা,v
1012,still,স্টিল,এখনও,adv
1013,stop,স্টপ,থামা (v); থামা,n:
1014,story,স্টোরি,গল্প,n
1015,street,স্ট্রিট,রাস্তা,n
1016,strong,স্ট্রং,শক্তিশালী,adj
1017,student,স্টুডেন্ট,ছাত্র ছাত্রী,n
1018,study,স্টাডি,পড়শোনা করা (v); পডশোনা,n
1019,style,স্টাইল,"শৈলী, ধরন",n
1020,subject,সাবজেক,- বিষয়,n
1021,success,সাকসেস,সাফল্য,n
1022,sugar,সুগার,চিনি,n
1023,summer,সামার,গ্রীষ্মকাল,n
1024,sun,সান,সূয,n
1025,Sunday,সানডে,রবিবার,n
1026,supermarket,সুপারমার্কেট,সুপারমাকেট,n
1027,sure,শিওর,নিশ্চিত,adj
1028,sweater,সুইটার,সোয়েটার,n
1029,swim,সুইম,সাঁতার কাটা,v
1030,swimming,সুইমিং,সাঁতার,n
1031,table,টেবিল,টেবিল,n
1032,take,টেইক,নেওয়া,v
1033,talk,টক,কথা বলা,v
1034,tall,টল,লম্বা,adj
1035,taxi,ট্যাক্সি,ট্যাক্সি,n
1037,teach,টচ,শেখানো,v
1038,teacher,টিচার,শিক্ষক শিক্ষিকা,n
1039,team,টিম,দল,n
1040,teenager,টিনেজার,কিশোর কিশোরী,n
1041,telephone,টেলিফোণ,টেলিফোন (n); টেলিফোন করা,v.
1042,television,টেলিভিশন,টেলিভিশন,n
1043,tell,টেল,বলা,v
1044,ten,টেন,দশ,number
1045,tennis,টেনিস,টেনিস,n
1046,terrible,টেরিবল,"পয়ংকর, জঘন্য",ad]
1047,test,টেস্ট,পরীক্ষা (n); পরীক্ষা করা,V.
1048,text,টেক্সট,"টেক্সট, লিখিত বাতা",n
1049,than,দ্যান,চেযে,conj
1050,thank,থ্যাংক,ধন্যবাদ দেওয়া,v
1052,that,দ্যাট,"যে, ওই","det , pron conj"
1053,the,দিদা,"টি, টা",নিদিষ্ট নিদেশক
1054,theatre,থিয়েটার,থিয়েটার,n
1055,their,দেযার,তাদের,det
1056,them,দেম,তাদের,pron
1057,then,দেন,সপর,adv
1058,there,দেযার,সেখানে,adv
1059,they,দেহ,তারা,pron
1060,rning,থিং,জিনিস,n
1061,think,থিংক,ভাবা,v
1062,third,থারড,তৃতীয়,number
1063,thirsty,থারস্টি,- তৃষ্ণাত,adj
1064,thirteen,থারটিন,তেরো,number
1065,thirty,থাটি,ত্রিশ,number
1066,this,দিস,এটি,det  pron
1067,thousand,থাউজেন্ড,হাজার,number
1068,three,থরি,তিন,number
1069,through,থরু,মধ্য দিয়ে,"prep , adv"
1070,Thursday,থারসডে,বৃহস্পতিবার,n
1071,ticket,টিকেটি,টিকিট,n
1072,time,টাইম,সময়,n
1073,tired,টায়ার্ড,ক্লান্ত,adj
1074,title,টাইটেল,"- শিরোনাম (n) 1075. 10 প্রতি, দিকে","prep , infinitive marker"
1076,today,টুডে,আজ,"adv ,n"
1077,together,টুগেদার,একসাথে,adv
1078,toilet,টয়লেট,টয়লেট,n
1359,lock,লক,তাা; তালা মারা,"V,n"
1360,look,লুক,দেখা,n:
1361,lorry,লরি,লরি,n
1362,lost,লস্ট,হারানো,adj
1363,loud,লাউড,উচ্চস্বরে,"adj , adv."
1364,loudly,লাউডলি,উচ্চস্বরে,adv
1365,lovely,লাভলি,সুন্দর,adj
1366,low,লো,নিচু,"adj , adv"
1367,luck,লাক,ভাগ্য,n
1368,lucky,লাকি,ভাগ্যবান,adj
1369,mail,মেইল,ডাক; মেইল করা,"n, v"
1370,major,মেজর,প্রধান,adj
1371,male,মেল,পুরুষ,"adj ,n"
1373,manager,ম্যানেজার,ববস্থাপক,n
1374,manner,ম্যানার,পদ্ধতি; আচরণ,n
1375,mark,মাক,চিহ্ন; চিহ্নিত করা,"V , Il."
1376,marry,ম্যারি,বিয়ে করা,v.
1377,material,মেটেরিয়াল,- উপাদান,n
1379,maths,ম্যাথস,গণিত,n
1380,matter,ম্যাটার,- বিষয়; গুরুত্ব দেওয়া,"11., V."
1381,may,মে,পারা,modal v
1382,media,মিডিয়া,গণমাধ্যম,n
1383,medical,মেডিকেল,চিকিংসা সংক্রান্ত,ad].
1384,medicine,মেডিসিন,ঔষধ,n
1385,memory,মেমরি,স্মৃতি,n
1386,mention,মেনশন,উল্লেখ করা,v
1387,metal,মেটাল,ধাতু,n
1388,method,মেথড়,পদ্ধতি,n
1389,middle,মিডল,মধ্য,"n, adj"
1390,might,মাইটি,পারা,modal v
1391,mind,মাইন্ড,মন; মনে করা,"n., V"
1393,mirror,মিরর,আয়না,n
1394,missing,মিসিং,অনুপস্থিত,adj
1395,mobile,মোবাইল,মোবাইল,"adj ,n"
1396,monkey,মানকি,বানর,n
1397,moon,মুন,চাঁদ,n
1398,mostly,মোস্টলি,বেশিরভাগ,adv
1399,motorcycle,মোটরসাইকেল,মোটরসাইকেল,n
1400,movement,মুভমেন্ট,আন্দোলন; চলন,n
1401,musical,মিউজিকাল,বাদযযন্ত্র সংক্রান্ত,adj
1402,musician,মিউজিশিয়ান,সঙ্গীতজ্ঞ . Facebook Biborno Sahin,01726505437
1403,myself,মাইসেল্ফ,আমি নিজে,pron
1404,narrow,ন্যারো,সরু,adj
1405,national,ন্যাশনাল,জাতীয়,adj
1406,nature,নেচার,প্রকৃতি,1.
1407,nearly,নিয়ারলি,প্রায়,adv
1408,necessary,নেসেসারি,প্রয়োজনীয়,adj.
1409,neck,নেক,ঘাড়,n
1410,need,নিড,প্রয়োজন,n
1411,neither,নাইদার,কোনটিই না,det  pron
1412,nervous,নাভাস,"- চিন্তিত, অস্থির",adj.
1413,network,নেটওয়াক,নেটওয়াক,n
1414,noise,নয়েজ,শব্দ,n
1415,noisy,নয়েজি,- কোলাহলপূর্ণ,adj
1416,none,নান,কেউ না,pron:
1417,normal,নরমাল,স্বাভাবিক,adj
1420,novel,নভেল,উপন্যাস,n
1422,number,নামবার,সংখ্যা,v
1423,nut,নাট,বাদাম,n
1424,ocean,ওশন,মহাসাগর,n
1425,offer,অফার,প্রস্তাব; প্রস্তাব করা,"V , I1."
1426,officer,অফিসার,অফিসার,n
1427,oil,অয়েল,তেল,n
1428,onto,অন্টো,উপরে,prep
1430,option,অপশন,বিকল্প,n
1431,ordinary,অডিনারি,সাধারণ,adj
1432,organization,অগানাইজেশন,সংস্থা,n.
1433,organize,অগানাইজ,সংগঠিত করা,V.
1434,original,অরিজিনাল,আসল,adj
1435,ourselves,আওয়ারসেল্ক,আমরা নিজেরা,pron
1436,outside,আউটসাইড,বাইরে,"prep , Il. adj"
1437,oven,ওভেন,ওতেন,n
1438,own,ওন,নিজের,v
1439,owner,ওনার,মালিক,n
1440,pack,প্যাক,প্যাক করা,v
1441,pain,পেইন,ব্যথা,n:
1442,painter,পেইন্টার,- চিত্রশিল্পী,n
1443,palace,প্যালেস,প্রাসাদ,n:
1444,pants,প্যান্টস,প্যান্ট,n
1445,parking,পার্কিং,পার্কিং,n
